Feature ID	Taxon	Confidence
d2f7d6c18d0ef9c609ba6686a3c708cc	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Moraxella; s__Moraxella_lincolnii	0.9996668104352434
8b8bb88896a07733a9224f9ba7c2401c	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.792452840825665
6534fd514466a293197c5543dce542fa	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Dolosigranulum; s__uncultured_bacterium	0.9078436241554277
86d3eefbdb2f38c56b7804db9b7c7a84	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999996564340463
74e55b75a302092af9bef8cd3b4060cd	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella	0.9919010962004429
718b4878e0c5ba676d98cc11f19efc0f	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium	0.9899857189870709
59faeffc40aac4d0c723562726003e27	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__Haemophilus_parahaemolyticus	0.9183621441562683
bd6da3a42b3e4e2cd7127ca779739f9b	d__Bacteria; p__Firmicutes; c__Bacilli	0.9999999765611115
fc392be19d447e335ef4ca3a209d251b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Dolosigranulum; s__uncultured_bacterium	0.8662186660628076
cc6d9c2135faa0bcd29b6fcae13cb855	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Moraxella; s__Moraxella_catarrhalis	0.9703495859648059
7ead076066c1ee59e9b1d4c5398454b5	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium	0.8077670229260869
837b7c434e0c3d147351b9e37503fbf9	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia	0.9999865544446498
5b012dd76736089575cd4b1e1854f30a	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999998332450588
a5cce90341ee82437a145a6a787ce476	d__Bacteria; p__Firmicutes; c__Bacilli	0.9999999758077311
06389230234bafb13f0bdf1551c6180e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_pseudodiphtheriticum	0.8957576107551738
0eb20700d8af53f3751503be41b7acda	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__Rothia_mucilaginosa	0.7070938494907719
6e3763b514641176249ff96c38e670ac	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__uncultured; s__Leptotrichia-like_sp.	0.8110986069624534
9ef9c36ed4ef5dc13c5a2e99830b4e8b	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella	0.9908878230821236
c9f59f0d976f9eb6486c3c9750d85b23	d__Bacteria; p__Firmicutes; c__Bacilli	0.9999999576543719
f160e2168e647be3ec93fe9813446f0e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium	0.9885167527419614
b53769a3ba181bade08f6a3bd0edeebe	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999998678896737
d417a0c661e0e0c4129a810ee78d417b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999997341623128
29d12830d40334ba19c9c09beb263602	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999995683486268
89428555e8e08c4cb0735a0fb92466ac	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.8232542899781441
2b26436ca542bf89541b6c80425c8362	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999998050610509
