"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"26",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cytotoxicus",7,0.000212733627108342,7,0.000212742191520006,"27","580165","1"
"27",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus asini",7,0.000212733627108342,7.4,0.000223394502002811,"26","57732","1"
"28",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Viridibacillus","Viridibacillus arvi",5,0.000151952590791673,5.5,0.000168097190103714,"29","263475","1"
"29",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus arlettae",5,0.000151952590791673,6.3,0.000190198530999594,"28","29378","1"
"30",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus auricularis",5,0.000151952590791673,5,0.000151988929696181,"30","29379","1"
"31",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter dublinensis",5,0.000151952590791673,4.6,0.000140156049824444,"31","413497","1"
"32",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria grayi",4,0.000121562072633338,3.7,0.000112775130631423,"33","1641","1"
"33",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",4,0.000121562072633338,4,0.000122206930677884,"34","1640","1"
"34",NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium",4,0.000121562072633338,4,0.000121562072633338,"32","33025","1"
"35",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes",2,6.07810363166692e-05,2,6.14272383601448e-05,"43","1639","1"
"36",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","Mammaliicoccus sciuri",2,6.07810363166692e-05,2.3,7.08276466319024e-05,"35","1296","1"
"37",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus massiliensis",2,6.07810363166692e-05,2,6.07811464001697e-05,"44","1189613","1"
"38",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,6.07810363166692e-05,2.1,6.45130755949859e-05,"39","1139996","1"
"39",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","Melissococcus plutonius",2,6.07810363166692e-05,2,6.20936091085423e-05,"40","940190","1"
"40",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gordonii",2,6.07810363166692e-05,2,6.08718035831248e-05,"36","1302","1"
"41",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum",2,6.07810363166692e-05,2,6.08124671743099e-05,"38","1492","1"
"42",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens",2,6.07810363166692e-05,2,6.07803918859306e-05,"41","657309","1"
"43",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola massiliensis",2,6.07810363166692e-05,2,6.07810362963686e-05,"37","204516","1"
"44",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis",2,6.07810363166692e-05,2,6.07810363166692e-05,"42","487174","1"
"45",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae",2,6.07810363166692e-05,2.2,6.73755606941676e-05,"45","1499973","1"
"46",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus capitis",1,3.03905181583346e-05,1,3.04238232670494e-05,"47","29388","1"
"47",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus nepalensis",1,3.03905181583346e-05,1,3.0396058820078e-05,"49","214473","1"
"48",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus phoeniculicola",1,3.03905181583346e-05,1.1,3.20339866071197e-05,"57","154621","1"
"49",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus termitis",1,3.03905181583346e-05,1,3.12789233765625e-05,"52","332950","1"
"50",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii",1,3.03905181583346e-05,1,3.03905181583346e-05,"48","853","1"
"51",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus callidus",1,3.03905181583346e-05,1,3.03905181583346e-05,"50","40519","1"
"52",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Tepidibaculum","Tepidibaculum saccharolyticum",1,3.03905181583346e-05,1,3.03905181583346e-05,"60","2164149","1"
"53",NA,NA,"Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum faecicola",1,3.03905181583346e-05,1,3.03905181583346e-05,"61","2358141","1"
"54",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis",1,3.03905181583346e-05,1,3.03905181583346e-05,"59","515619","1"
"55",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter faecis",1,3.03905181583346e-05,1,3.03905181583346e-05,"56","1298596","1"
"56",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris",1,3.03905181583346e-05,1,3.03905181583346e-05,"46","449673","1"
"57",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis",1,3.03905181583346e-05,1,3.0390227700271e-05,"51","820","1"
"58",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis",1,3.03905181583346e-05,1,3.03905181583346e-05,"54","28117","1"
"59",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae",1,3.03905181583346e-05,1,3.03905181583346e-05,"53","46503","1"
"60",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella sonnei",1,3.03905181583346e-05,1.2,3.58401720435967e-05,"58","624","1"
"61",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium carotovorum",1,3.03905181583346e-05,1,3.04102989273857e-05,"55","554","1"
