"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"385",NA,NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Paractinoplanes","Paractinoplanes globisporus",1,1.37736114133654e-06,1,1.37760379017564e-06,"377","113565","1"
"386",NA,NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Rhizocola","Rhizocola hellebori",1,1.37736114133654e-06,1,1.37771219867712e-06,"512","1392758","1"
"387",NA,NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Winogradskya","Winogradskya consettensis",1,1.37736114133654e-06,1.2,1.610792766353e-06,"350","113560","1"
"388",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium efficiens",1,1.37736114133654e-06,0.5,6.82813544401582e-07,"521","196164","1"
"389",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium glutamicum",1,1.37736114133654e-06,0.5,6.82813544401582e-07,"478","1718","1"
"390",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium europaeum",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"525","761804","1"
"391",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium montefiorense",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"443","154654","1"
"392",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium palustre",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"444","153971","1"
"393",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sherrisii",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"468","243061","1"
"394",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium triplex",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"454","47839","1"
"395",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium arabiense",1,1.37736114133654e-06,1.2,1.71393474373945e-06,"565","1286181","1"
"396",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium obuense",1,1.37736114133654e-06,1,1.37605620598531e-06,"360","1807","1"
"397",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Prescottella","Prescottella agglutinans",1,1.37736114133654e-06,0.3,4.5923739955904e-07,"549","1644129","1"
"398",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus phenolicus",1,1.37736114133654e-06,0.3,4.5923739955904e-07,"421","263849","1"
"399",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus ruber",1,1.37736114133654e-06,0.3,4.5923739955904e-07,"470","1830","1"
"400",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Kribbellaceae","Kribbella","Kribbella albertanoniae",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"488","1266829","1"
"401",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Kribbellaceae","Kribbella","Kribbella endophytica",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"372","913948","1"
"402",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Kribbellaceae","Kribbella","Kribbella karoonensis",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"474","324851","1"
"403",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Kribbellaceae","Kribbella","Kribbella pittospori",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"436","722689","1"
"404",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Kribbellaceae","Kribbella","Kribbella swartbergensis",1,1.37736114133654e-06,0.2,2.75542439735424e-07,"432","324852","1"
"405",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides aestuarii",1,1.37736114133654e-06,1.3,1.80747633971961e-06,"342","252231","1"
"406",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides alpinus",1,1.37736114133654e-06,0.5,6.87659059448213e-07,"425","748909","1"
"407",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides astragali",1,1.37736114133654e-06,0.5,6.87659059448213e-07,"562","1776736","1"
"408",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides dilutus",1,1.37736114133654e-06,1,1.37771219867712e-06,"416","433652","1"
"409",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides endophyticus",1,1.37736114133654e-06,1.1,1.5247743398968e-06,"508","1353775","1"
"410",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides halotolerans",1,1.37736114133654e-06,1,1.37771219867712e-06,"417","1122609","1"
"411",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides iriomotensis",1,1.37736114133654e-06,1,1.37611396824652e-06,"428","715784","1"
"412",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides lentus",1,1.37736114133654e-06,1,1.37771219867712e-06,"384","338077","1"
"413",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides marinisabuli",1,1.37736114133654e-06,1.2,1.62060954794275e-06,"409","419476","1"
"414",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides marmorisolisilvae",1,1.37736114133654e-06,1,1.37771219867712e-06,"568","1542737","1"
"415",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sediminis",1,1.37736114133654e-06,0.5,6.88135091535467e-07,"415","433648","1"
"416",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides suum",1,1.37736114133654e-06,1,1.37770640320167e-06,"519","1706825","1"
"417",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides terrigena",1,1.37736114133654e-06,0.5,6.88135091535467e-07,"412","424797","1"
