"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"14",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",13563,0.0308386671365719,13563,0.0308712971385524,"14","562","1"
"15",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",13516,0.0307318015938882,13516,0.0307643983046661,"15","210","1"
"16",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",9421,0.0214208569707029,9426.1,0.0214551398524202,"16","888745","1"
"17",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",9228,0.0209820261252146,9228,0.0210042813575071,"17","837","1"
"18",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",7614,0.0173122179147577,7614.5,0.0173317031443104,"18","1596","1"
"19",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",2300,0.00522959038664863,2300,0.00523513733130907,"19","537011","1"
"20",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",1727,0.00392674025988791,1727.8,0.00393277135274955,"20","1313","1"
"21",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",1645,0.00374029399392913,2205.9,0.00502093425281887,"21","1282","1"
"22",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",1602,0.00364252339104831,1633.9,0.00371892649280018,"22","1354","1"
"23",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",1109,0.00252157206034493,1109,0.00252424648291845,"23","1747","1"
"24",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus kloosii",567,0.00128920771705642,563,0.0012813978715428,"24","29384","1"
"25",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes",280,0.000636645786200703,256.2,0.000583199063108865,"25","46126","1"
"26",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",224,0.000509316628960562,236.7,0.000538661384669145,"26","1139996","1"
"27",NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium",197,0.000447925785291209,197,0.000448400893159951,"27","33025","1"
"28",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hyicus",138,0.000313775423198918,135.8,0.000309176971472074,"28","1284","1"
"29",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus manliponensis",125,0.000284216868839599,128.7,0.000292831944998236,"29","574376","1"
"30",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus carnosus",93,0.000211457350416662,110.8,0.00025221403929122,"30","1281","1"
"31",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Metapseudomonas","Metapseudomonas resinovorans",82,0.000186446265958777,82.1,0.000186960277551474,"31","53412","1"
"32",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus phoeniculicola",76,0.000172803856254476,71.8,0.000163442432341607,"32","154621","1"
"33",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii",56,0.000127329157240141,56,0.000127464213284047,"33","853","1"
