"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"69",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus wangshanyuanii",13,1.83529498131529e-05,15,2.12130206451159e-05,"69","2005703","1"
"70",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum",12,1.69411844429103e-05,12,1.694805620012e-05,"70","1492","1"
"71",NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella massiliensis",12,1.69411844429103e-05,12,1.69463760174886e-05,"71","1816689","1"
"72",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus carboniphilus",11,1.55294190726678e-05,10.5,1.48314579880079e-05,"72","86663","1"
"73",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Heyndrickxia","Heyndrickxia acidicola",10,1.41176537024253e-05,10.5,1.48177718745998e-05,"75","209389","1"
"74",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sanguinis",10,1.41176537024253e-05,8.5,1.20329575504033e-05,"74","1305","1"
"75",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii",10,1.41176537024253e-05,10,1.41219800145738e-05,"78","39488","1"
"76",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia luti",10,1.41176537024253e-05,9.8,1.38602610954996e-05,"77","89014","1"
"77",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis",10,1.41176537024253e-05,10,1.41219800145738e-05,"76","820","1"
"78",NA,NA,"Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","Stenotrophomonas geniculata",10,1.41176537024253e-05,10,1.41219800145738e-05,"73","1336242","1"
"79",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus auricularis",9,1.27058883321827e-05,10.1,1.43032303711152e-05,"80","29379","1"
"80",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus nepalensis",9,1.27058883321827e-05,9.1,1.29001173890554e-05,"79","214473","1"
"81",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus troglodytae",9,1.27058883321827e-05,9,1.271142553809e-05,"84","1111760","1"
"82",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena",9,1.27058883321827e-05,9,1.27097820131165e-05,"82","88431","1"
"83",NA,NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella biformis",9,1.27058883321827e-05,9,1.27097820131165e-05,"85","1735","1"
