"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"53",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",5,3.09321719333845e-05,5,3.09488292057911e-05,"51","823","1"
"54",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","Raoultella planticola",5,3.09321719333845e-05,4.5,2.78155764546573e-05,"48","575","1"
"55",NA,NA,"Actinomycetota","Actinomycetes","Micrococcales","Intrasporangiaceae","Oryzobacter","Oryzobacter terrae",4,2.47457375467076e-05,2,1.22450275245406e-05,"60","1620385","1"
"56",NA,NA,"Actinomycetota","Actinomycetes","Micrococcales","Intrasporangiaceae","Phycicoccus","Phycicoccus elongatus",4,2.47457375467076e-05,2,1.22450275245406e-05,"55","1193181","1"
"57",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus massiliensis",4,2.47457375467076e-05,4.5,2.76870278399378e-05,"61","1640685","1"
"58",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus phoeniculicola",4,2.47457375467076e-05,4.7,2.92559885019795e-05,"58","154621","1"
"59",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gordonii",4,2.47457375467076e-05,4,2.49231768829326e-05,"56","1302","1"
"60",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus callidus",4,2.47457375467076e-05,4,2.47590633646329e-05,"57","40519","1"
"61",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei",4,2.47457375467076e-05,4,2.47658677840551e-05,"59","357276","1"
"62",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia meyeri",3,1.85593031600307e-05,3,1.85737724434795e-05,"64","52773","1"
"63",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sonneratiae",3,1.85593031600307e-05,2.9,1.77930039647541e-05,"70","1962348","1"
"64",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus cecorum",3,1.85593031600307e-05,2.9,1.77183832155587e-05,"63","44008","1"
"65",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans",3,1.85593031600307e-05,3,1.85692975234747e-05,"69","1150298","1"
"66",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter faecis",3,1.85593031600307e-05,3,1.85692975234747e-05,"68","1298596","1"
"67",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis",3,1.85593031600307e-05,3,1.85692975234441e-05,"65","820","1"
"68",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae",3,1.85593031600307e-05,3,1.85692975234747e-05,"66","46503","1"
"69",NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella massiliensis",3,1.85593031600307e-05,3,1.85692975234747e-05,"71","1816689","1"
