"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus wangshanyuanii",7,9.90890881680551e-06,7.4,1.04677054710271e-05,"159","2005703","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Sarcina","Sarcina ventriculi",7,9.90890881680551e-06,7,9.90996092643979e-06,"150","1267","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia faecis",7,9.90890881680551e-06,7,9.90996092643979e-06,"154","871665","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques",7,9.90890881680551e-06,7,9.90996092643979e-06,"152","33039","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella flexneri",7,9.90890881680551e-06,8.1,1.1441308459594e-05,"151","623","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium carotovorum",7,9.90890881680551e-06,6.8,9.56952309353378e-06,"156","554","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter tandoii",7,9.90890881680551e-06,6.6,9.3149941826445e-06,"155","202954","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Actinomycetota","Actinomycetes","Nakamurellales","Nakamurellaceae","Nakamurella","Nakamurella flavida",6,8.49335041440472e-06,6,8.49425222266268e-06,"164","363630","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Halalkalibacter","Halalkalibacter oceani",6,8.49335041440472e-06,6.2,8.71207443324119e-06,"170","1653776","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","Macrococcus bovicus",6,8.49335041440472e-06,5.2,7.29692735403952e-06,"165","69968","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus equorum",6,8.49335041440472e-06,7.8,1.10180872098089e-05,"166","201829","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Isobaculum","Isobaculum melis",6,8.49335041440472e-06,7.3,1.03714587515556e-05,"160","142588","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus haemoperoxidus",6,8.49335041440472e-06,6.8,9.6286581410378e-06,"169","155618","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus pallens",6,8.49335041440472e-06,7.7,1.08327619348494e-05,"162","160454","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus intestinalis",6,8.49335041440472e-06,8,1.13881769818144e-05,"161","151781","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Tepidibaculum","Tepidibaculum saccharolyticum",6,8.49335041440472e-06,6,8.49425222266268e-06,"171","2164149","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","[Lactobacillus] rogosae",6,8.49335041440472e-06,6,8.49425222266268e-06,"167","706562","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus","Paracoccus kocurii",6,8.49335041440472e-06,5.9,8.39412690175715e-06,"168","34005","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger",6,8.49335041440472e-06,6,8.49425222266268e-06,"163","901","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella","Lawsonella clevelandensis",5,7.07779201200393e-06,5,7.07854351888556e-06,"184","1528099","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides islandensis",5,7.07779201200393e-06,4.9,6.97777828173528e-06,"178","433663","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus luti",5,7.07779201200393e-06,6,8.43566958113537e-06,"186","2026191","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Heyndrickxia","Heyndrickxia ginsengihumi",5,7.07779201200393e-06,5,7.07854846664131e-06,"181","363870","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Viridibacillus","Viridibacillus arenosi",5,7.07779201200393e-06,5,7.10395926574172e-06,"183","263476","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus rostri",5,7.07779201200393e-06,6.3,8.9433277055973e-06,"180","522262","1",NA,NA,NA,NA,NA,NA,NA
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus diestrammenae",5,7.07779201200393e-06,5,7.07866373416089e-06,"185","1155073","1",NA,NA,NA,NA,NA,NA,NA
