"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"117",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saigonensis",8,2.84064681527984e-05,10.7,3.79519655171884e-05,"121","1805431","1"
"118",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus hamsteri",8,2.84064681527984e-05,11.8,4.20187445690567e-05,"116","96565","1"
"119",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae",8,2.84064681527984e-05,8,2.84096962293231e-05,"115","47678","1"
"120",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris",8,2.84064681527984e-05,8,2.84096962293231e-05,"117","449673","1"
"121",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens",8,2.84064681527984e-05,6.7,2.38058442860501e-05,"119","657309","1"
"122",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter dublinensis",8,2.84064681527984e-05,9,3.19342084505592e-05,"120","413497","1"
"123",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hyicus",7,2.48556596336986e-05,12.2,4.33595831728775e-05,"123","1284","1"
"124",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus cristatus",7,2.48556596336986e-05,7.4,2.62822292228098e-05,"126","45634","1"
"125",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium chromiireducens",7,2.48556596336986e-05,8.3,2.95188605038934e-05,"128","225345","1"
"126",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis",7,2.48556596336986e-05,7,2.48584842006577e-05,"127","487174","1"
"127",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter sakazakii",7,2.48556596336986e-05,8.5,3.01242984280625e-05,"124","28141","1"
"128",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Metapseudomonas","Metapseudomonas otitidis",7,2.48556596336986e-05,9.1,3.21762488042644e-05,"125","319939","1"
"129",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus auricularis",6,2.13048511145988e-05,5.8,2.04767116830369e-05,"130","29379","1"
"130",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus lactis",6,2.13048511145988e-05,7.2,2.54022159567537e-05,"134","357441","1"
"131",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus quebecensis",6,2.13048511145988e-05,5.7,2.03718280982366e-05,"131","903983","1"
"132",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus termitis",6,2.13048511145988e-05,6,2.11475758104246e-05,"132","332950","1"
"133",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus callidus",6,2.13048511145988e-05,6,2.13072721719923e-05,"129","40519","1"
"134",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella clara",6,2.13048511145988e-05,6,2.13072721719923e-05,"133","454154","1"
"135",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus toyonensis",5,1.7754042595499e-05,5.7,2.03714956308739e-05,"141","155322","1"
"136",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus ureilyticus",5,1.7754042595499e-05,5,1.76836071042463e-05,"137","1131292","1"
"137",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus troglodytae",5,1.7754042595499e-05,5,1.77565377737699e-05,"140","1111760","1"
"138",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",5,1.7754042595499e-05,5,1.77560601433269e-05,"139","823","1"
"139",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter johrii",5,1.7754042595499e-05,5,1.77595038038144e-05,"138","445629","1"
"140",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia marcescens",5,1.7754042595499e-05,5,1.79235212146182e-05,"135","615","1"
"141",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter johnsonii",5,1.7754042595499e-05,5.6,2.00494120904391e-05,"136","40214","1"
"142",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus gallinarum",4,1.42032340763992e-05,4.3,1.52288605984074e-05,"146","1293","1"
"143",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus nepalensis",4,1.42032340763992e-05,4.4,1.56314017901022e-05,"145","214473","1"
"144",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus succinus",4,1.42032340763992e-05,4.7,1.66102053845551e-05,"144","224030","1"
"145",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus cecorum",4,1.42032340763992e-05,3.8,1.34375041803907e-05,"143","44008","1"
"146",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus ureasiticus",4,1.42032340763992e-05,3.9,1.38426557549621e-05,"147","903984","1"
"147",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus phocae",4,1.42032340763992e-05,4,1.43346954874586e-05,"151","119224","1"
"148",NA,NA,"Bacillota","Clostridia","Eubacteriales",NA,"Gemmiger","Gemmiger formicilis",4,1.42032340763992e-05,4,1.42763814416285e-05,"149","745368","1"
"149",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia luti",4,1.42032340763992e-05,4,1.42048481146615e-05,"152","89014","1"
"150",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis",4,1.42032340763992e-05,4,1.42048481146615e-05,"148","820","1"
"151",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei",4,1.42032340763992e-05,4,1.42068924146577e-05,"150","357276","1"
"152",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus","Paracoccus denitrificans",4,1.42032340763992e-05,3.8,1.34498666187366e-05,"142","266","1"
"153",NA,NA,"Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter ginsenosidimutans",3,1.06524255572994e-05,1.5,5.32681804299808e-06,"164","490573","1"
"154",NA,NA,"Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter soli",3,1.06524255572994e-05,1.5,5.32681804299808e-06,"168","363832","1"
"155",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cytotoxicus",3,1.06524255572994e-05,2.5,8.90320706500336e-06,"171","580165","1"
"156",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus proteolyticus",3,1.06524255572994e-05,5.3,1.8748556466797e-05,"174","2026192","1"
"157",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Viridibacillus","Viridibacillus arvi",3,1.06524255572994e-05,3,1.07895705516056e-05,"155","263475","1"
"158",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","Mammaliicoccus fleurettii",3,1.06524255572994e-05,3.8,1.34251249103521e-05,"169","150056","1"
"159",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus simulans",3,1.06524255572994e-05,3.5,1.25837087463883e-05,"158","1286","1"
"160",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus asini",3,1.06524255572994e-05,3.8,1.35432822792247e-05,"156","57732","1"
"161",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus devriesei",3,1.06524255572994e-05,3.2,1.13972341441292e-05,"161","319970","1"
"162",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus olivae",3,1.06524255572994e-05,3.9,1.37976910199984e-05,"173","1242999","1"
"163",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus rotai",3,1.06524255572994e-05,3.5,1.23113838750116e-05,"162","118060","1"
"164",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gigeriorum",3,1.06524255572994e-05,2.9,1.03919428159564e-05,"160","1423751","1"
"165",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus intestinalis",3,1.06524255572994e-05,3.8,1.34346501100475e-05,"154","151781","1"
"166",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus taiwanensis",3,1.06524255572994e-05,3.8,1.35460867772988e-05,"166","508451","1"
"167",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus henryi",3,1.06524255572994e-05,3.6,1.28349042736925e-05,"163","439219","1"
"168",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus macedonicus",3,1.06524255572994e-05,3.4,1.20293976006804e-05,"159","59310","1"
"169",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis",3,1.06524255572994e-05,3,1.06536358375832e-05,"170","515619","1"
"170",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans",3,1.06524255572994e-05,3,1.06536360859962e-05,"172","1150298","1"
"171",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter faecis",3,1.06524255572994e-05,3,1.06536360859962e-05,"167","1298596","1"
"172",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques",3,1.06524255572994e-05,3,1.06536360859962e-05,"157","33039","1"
"173",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides kribbi",3,1.06524255572994e-05,4.2,1.48359628361141e-05,"175","1912894","1"
"174",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gulae",3,1.06524255572994e-05,3,1.06537721138213e-05,"165","111105","1"
"175",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella dysenteriae",3,1.06524255572994e-05,3.7,1.32070085004298e-05,"153","622","1"
"176",NA,NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella","Lawsonella clevelandensis",2,7.1016170381996e-06,2,7.10242405733077e-06,"208","1528099","1"
"177",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides cavernae",2,7.1016170381996e-06,1,3.55096835383325e-06,"211","1921566","1"
"178",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides hwasunensis",2,7.1016170381996e-06,1,3.55096835383325e-06,"195","397258","1"
"179",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Alkalihalobacterium","Alkalihalobacterium alkalinitrilicum",2,7.1016170381996e-06,2,7.10243110018304e-06,"194","427920","1"
"180",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus bingmayongensis",2,7.1016170381996e-06,2.8,9.82060455514573e-06,"209","1150157","1"
"181",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Halalkalibacter","Halalkalibacter oceani",2,7.1016170381996e-06,2.2,7.78117425198088e-06,"212","1653776","1"
"182",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria floridensis",2,7.1016170381996e-06,2.5,8.88482782767467e-06,"210","1494962","1"
"183",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Viridibacillus","Viridibacillus arenosi",2,7.1016170381996e-06,2,7.10242409690491e-06,"203","263476","1"
"184",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","Macrococcus bovicus",2,7.1016170381996e-06,2,7.10242405733077e-06,"189","69968","1"
"185",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus casei",2,7.1016170381996e-06,2.2,7.85678484439171e-06,"181","201828","1"
"186",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus simiae",2,7.1016170381996e-06,2.6,9.21423907653706e-06,"202","911238","1"
"187",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus warneri",2,7.1016170381996e-06,2.3,8.2298318293941e-06,"177","1292","1"
"188",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus caccae",2,7.1016170381996e-06,2.3,8.21306878938729e-06,"187","317735","1"
"189",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus canis",2,7.1016170381996e-06,3,1.06615791697298e-05,"188","214095","1"
"190",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus malodoratus",2,7.1016170381996e-06,2.6,9.30418767447358e-06,"191","71451","1"
"191",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus","Amylolactobacillus amylophilus",2,7.1016170381996e-06,1.8,6.30929468786867e-06,"205","1603","1"
"192",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii",2,7.1016170381996e-06,2.4,8.43411210282036e-06,"180","1584","1"
"193",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus canis",2,7.1016170381996e-06,2.2,7.70749066655258e-06,"179","1329","1"
"194",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Sarcina","Sarcina ventriculi",2,7.1016170381996e-06,1.2,4.30364469057937e-06,"178","1267","1"
"195",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus",2,7.1016170381996e-06,2,7.10242405733077e-06,"184","649756","1"
"196",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia faecis",2,7.1016170381996e-06,2,7.10242405733077e-06,"199","871665","1"
"197",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum",2,7.1016170381996e-06,2,7.10242405733077e-06,"192","411459","1"
"198",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena",2,7.1016170381996e-06,2,7.10242405733077e-06,"201","88431","1"
"199",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","[Lactobacillus] rogosae",2,7.1016170381996e-06,2,7.10242405733077e-06,"197","706562","1"
"200",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii",2,7.1016170381996e-06,2,7.10242405733077e-06,"200","328814","1"
"201",NA,NA,"Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Adhaeribacter terrae",2,7.1016170381996e-06,2,7.10242405733077e-06,"214","1892554","1"
"202",NA,NA,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium oligotrophicum",2,7.1016170381996e-06,2,7.10242405733077e-06,"176","1245469","1"
"203",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus","Paracoccus koreensis",2,7.1016170381996e-06,2.2,7.8574067390086e-06,"183","290306","1"
"204",NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella massiliensis",2,7.1016170381996e-06,1,3.55121202866538e-06,"213","1816689","1"
"205",NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella stercoricanis",2,7.1016170381996e-06,1,3.55121202866538e-06,"182","234908","1"
"206",NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella wadsworthensis",2,7.1016170381996e-06,2,7.10242405733077e-06,"198","40545","1"
"207",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria polysaccharea",2,7.1016170381996e-06,2,7.10306706160256e-06,"186","489","1"
"208",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter universalis",2,7.1016170381996e-06,2.1,7.39090873835644e-06,"196","535744","1"
"209",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia","Pseudescherichia vulneris",2,7.1016170381996e-06,2.5,8.85705841168664e-06,"193","566","1"
"210",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","Raoultella planticola",2,7.1016170381996e-06,1.4,5.14874619261885e-06,"190","575","1"
"211",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","[Curtobacterium] plantarum",2,7.1016170381996e-06,2,7.10242405728291e-06,"204","221276","1"
"212",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter guillouiae",2,7.1016170381996e-06,2.3,8.11088699798315e-06,"206","106649","1"
"213",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Geopseudomonas","Geopseudomonas guangdongensis",2,7.1016170381996e-06,2.2,7.90548474846881e-06,"207","1245526","1"
